# Radiation correction v2.3. Params: lat=41.4652, lon=1.9363, utc_time=2021-07-13 18:09
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
3460, 653.99, -2.58, 86.2, 10.14, 307.7
3480, 652.36, -2.72, 86.8, 9.96, 307.1
3500, 650.72, -2.81, 87.1, 10.00, 308.3
3520, 649.09, -2.93, 87.5, 9.92, 313.3
3540, 647.46, -3.04, 87.7, 10.01, 315.8
3560, 645.83, -3.27, 87.6, 10.15, 314.1
3580, 644.21, -3.46, 87.1, 10.29, 310.3
3600, 642.60, -3.47, 86.5, 10.53, 308.0
3620, 640.98, -3.22, 82.2, 11.52, 303.8
3640, 639.38, -2.76, 74.3, 12.65, 300.2
3660, 637.78, -2.63, 70.0, 13.83, 298.0
3680, 636.18, -2.74, 68.5, 14.16, 296.3
3700, 634.58, -2.82, 66.0, 14.40, 294.5
3720, 632.99, -2.78, 64.2, 14.63, 294.0
